Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)
Grand Total	4.44941E+12	9.80015E+12	6.5829E+12	9.77579E+12
CGI_10018876	2.12271E+11	4.33454E+11	3.04729E+11	4.40127E+11
CGI_10022729	2.12395E+11	4.23051E+11	3.02203E+11	4.31278E+11	K1QWP8	K1QWP8_CRAGI	unreviewed	Actin-2	CGI_10022729	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376
CGI_10028601	69252503610	1.34352E+11	98358630180	1.48798E+11	K1RHB1	K1RHB1_CRAGI	unreviewed	Actin-1	CGI_10028601	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
CGI_10028603	69252503610	1.34352E+11	98358630180	1.48798E+11	K1QVI5	K1QVI5_CRAGI	unreviewed	Actin-1	CGI_10028603	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	377	GO:0005524
CGI_10028604	69252503610	1.34352E+11	98358630180	1.48798E+11	K1R562	K1R562_CRAGI	unreviewed	Actin-1	CGI_10028604	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	285
CGI_10022732	74993593797	1.26823E+11	99525347713	1.26187E+11	K1RU04	K1RU04_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10022732	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376
CGI_10022731	68662195340	1.29899E+11	91542612354	1.36461E+11	K1RA57	K1RA57_CRAGI	unreviewed	Actin	CGI_10022731	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	377	GO:0005524
CGI_10022093	59782570100	1.35084E+11	93906068601	1.35667E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0003774
CGI_10022093	59782570100	1.35084E+11	93906068601	1.35667E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0005524
CGI_10022093	59782570100	1.35084E+11	93906068601	1.35667E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0016459
CGI_10022733	71791839659	1.13917E+11	91577396854	1.19731E+11	K1QMP4	K1QMP4_CRAGI	unreviewed	Actin	CGI_10022733	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	354
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0003924
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005200
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005525
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005737
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005874
CGI_10012330	21213869688	1.09537E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0007017
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0003924
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005200
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005525
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005874
CGI_10019752	21213869688	1.09537E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0007017
CGI_10001653	38401711518	76814294679	48614541460	76698767734	K1QTC1	K1QTC1_CRAGI	unreviewed	Paramyosin	CGI_10001653	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	851	GO:0003774
CGI_10001653	38401711518	76814294679	48614541460	76698767734	K1QTC1	K1QTC1_CRAGI	unreviewed	Paramyosin	CGI_10001653	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	851	GO:0016459
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0003924
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0005200
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0005525
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0005737
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0005874
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0007017
CGI_10021673	41559740727	69585977998	54177719409	64183950160	K1QHY0	K1QHY0_CRAGI	unreviewed	Actin-3	CGI_10021673	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	377	GO:0005524
CGI_10013249	36681260258	68277969734	52337802123	71887119794	K1PUC2	K1PUC2_CRAGI	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.30)	CGI_10013249	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1559	GO:0003950
CGI_10013249	36681260258	68277969734	52337802123	71887119794	K1PUC2	K1PUC2_CRAGI	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.30)	CGI_10013249	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1559	GO:0006471
CGI_10012474	26888918944	83367502186	47673143015	64219540051	K1QGS8	K1QGS8_CRAGI	unreviewed	Elongation factor 1-alpha	CGI_10012474	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	462	GO:0003746
CGI_10012474	26888918944	83367502186	47673143015	64219540051	K1QGS8	K1QGS8_CRAGI	unreviewed	Elongation factor 1-alpha	CGI_10012474	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	462	GO:0003924
CGI_10012474	26888918944	83367502186	47673143015	64219540051	K1QGS8	K1QGS8_CRAGI	unreviewed	Elongation factor 1-alpha	CGI_10012474	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	462	GO:0005525
CGI_10012474	26888918944	83367502186	47673143015	64219540051	K1QGS8	K1QGS8_CRAGI	unreviewed	Elongation factor 1-alpha	CGI_10012474	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	462	GO:0005737
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0003924
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005200
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005525
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005737
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005874
CGI_10024998	21774839555	83756772710	39891842103	72549651643	K1QII6	K1QII6_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024998	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0007017
CGI_10028602	34420900223	65583727216	48422371734	69506092493	K1S0W8	K1S0W8_CRAGI	unreviewed	Actin-2	CGI_10028602	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	182
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0003924
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005200
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005525
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005737
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0005874
CGI_10024999	21061683317	81733192102	39036192006	71323653138	K1QQ68	K1QQ68_CRAGI	unreviewed	Tubulin alpha chain	CGI_10024999	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	451	GO:0007017
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0003924
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0005200
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0005525
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0005737
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0005874
CGI_10018930	21183395584	77572096460	38720249386	67349621781	K1R473	K1R473_CRAGI	unreviewed	Tubulin alpha chain	CGI_10018930	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	458	GO:0007017
CGI_10017757	40482776379	55703707441	47498040374	59528251250	K1QXE8	K1QXE8_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10017757	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	379	GO:0005524
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0003924
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005200
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005525
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005737
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005874
CGI_10019835	14657459790	77197075701	33447465955	72744401446	K1R278	K1R278_CRAGI	unreviewed	Tubulin beta chain	CGI_10019835	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0007017
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0003924
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0005200
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0005525
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0005737
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0005874
CGI_10007570	19022390542	67212831525	34307761764	59282363152	K1PE00	K1PE00_CRAGI	unreviewed	Tubulin alpha chain	CGI_10007570	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	475	GO:0007017
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0003924
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0005200
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0005525
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0005737
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0005874
CGI_10002456	17547029433	67688560141	33521735728	60153614381	K1PTU5	K1PTU5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002456	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	294	GO:0007017
CGI_10025109	23564434657	57374345235	35796656531	58845048914	K1QRU8	K1QRU8_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10025109	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1206	GO:0003774
CGI_10025109	23564434657	57374345235	35796656531	58845048914	K1QRU8	K1QRU8_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10025109	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1206	GO:0005524
CGI_10025109	23564434657	57374345235	35796656531	58845048914	K1QRU8	K1QRU8_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10025109	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	1206	GO:0016459
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0003924
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0005200
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0005525
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0005737
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0005874
CGI_10002455	18380938531	60196530690	33071052294	54173500217	K1PKU1	K1PKU1_CRAGI	unreviewed	Tubulin alpha chain	CGI_10002455	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	427	GO:0007017
CGI_10025110	19964438071	45257583608	31425669370	50085318230	K1R1B3	K1R1B3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10025110	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	712	GO:0003774
CGI_10025110	19964438071	45257583608	31425669370	50085318230	K1R1B3	K1R1B3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10025110	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	712	GO:0016459
CGI_10010873	18910484062	40023402401	28978325512	48122337867	K1PBC0	K1PBC0_CRAGI	unreviewed	Non-neuronal cytoplasmic intermediate filament protein	CGI_10010873	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	618	GO:0005198
CGI_10010873	18910484062	40023402401	28978325512	48122337867	K1PBC0	K1PBC0_CRAGI	unreviewed	Non-neuronal cytoplasmic intermediate filament protein	CGI_10010873	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	618	GO:0005882
CGI_10017621	17052323419	45144695834	26004326514	38345113170	K1PNQ5	K1PNQ5_CRAGI	unreviewed	Heat shock protein HSP 90-alpha 1	CGI_10017621	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	722	GO:0005524
CGI_10017621	17052323419	45144695834	26004326514	38345113170	K1PNQ5	K1PNQ5_CRAGI	unreviewed	Heat shock protein HSP 90-alpha 1	CGI_10017621	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	722	GO:0006457
CGI_10017621	17052323419	45144695834	26004326514	38345113170	K1PNQ5	K1PNQ5_CRAGI	unreviewed	Heat shock protein HSP 90-alpha 1	CGI_10017621	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	722	GO:0006950
CGI_10002454	14765809884	45625401301	25424860289	38765367661	K1PEI8	K1PEI8_CRAGI	unreviewed	Tubulin alpha chain (Fragment)	CGI_10002454	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	378	GO:0003924
CGI_10002454	14765809884	45625401301	25424860289	38765367661	K1PEI8	K1PEI8_CRAGI	unreviewed	Tubulin alpha chain (Fragment)	CGI_10002454	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	378	GO:0005200
CGI_10002454	14765809884	45625401301	25424860289	38765367661	K1PEI8	K1PEI8_CRAGI	unreviewed	Tubulin alpha chain (Fragment)	CGI_10002454	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	378	GO:0005525
CGI_10002454	14765809884	45625401301	25424860289	38765367661	K1PEI8	K1PEI8_CRAGI	unreviewed	Tubulin alpha chain (Fragment)	CGI_10002454	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	378	GO:0005874
CGI_10002454	14765809884	45625401301	25424860289	38765367661	K1PEI8	K1PEI8_CRAGI	unreviewed	Tubulin alpha chain (Fragment)	CGI_10002454	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	378	GO:0007017
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0003924
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0005200
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0005525
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0005737
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0005874
CGI_10008247	13361508498	47243720009	21555817254	41664199086	K1QFM5	K1QFM5_CRAGI	unreviewed	Tubulin alpha chain	CGI_10008247	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	482	GO:0007017
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0005524
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0015986
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0015991
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0045261
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0046933
CGI_10024501	15727721949	36797831581	29249733704	37384998205	K1R6Z7	K1R6Z7_CRAGI	unreviewed	ATP synthase subunit alpha	CGI_10024501	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	553	GO:0046961
CGI_10026048	16265432914	39908052430	28189550973	33406480679	K1Q6X5	K1Q6X5_CRAGI	unreviewed	Protein disulfide-isomerase (EC 5.3.4.1)	CGI_10026048	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	495	GO:0003756
CGI_10026048	16265432914	39908052430	28189550973	33406480679	K1Q6X5	K1Q6X5_CRAGI	unreviewed	Protein disulfide-isomerase (EC 5.3.4.1)	CGI_10026048	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	495	GO:0005783
