Go term	Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)	term	GOSlim_bin	aspect	clean												
GO:0016747	CGI_10002160	490828588	2255457080	1071827570	1767362875	"transferase activity, transferring acyl groups other than amino-acyl groups"	other molecular function	F	1												
GO:0000502	CGI_10002226	1054518012	2471862115	2229670388	2244217904	proteasome complex	other cellular component	C	1												
GO:0030234	CGI_10002226	1054518012	2471862115	2229670388	2244217904	enzyme regulator activity	enzyme regulator activity	F	1												
GO:0042176	CGI_10002226	1054518012	2471862115	2229670388	2244217904	regulation of protein catabolic process	protein metabolism	P	1												
GO:0004801	CGI_10002311	1111041103	2296619896	1511349287	2458199488	transaldolase activity	other molecular function	F	1												
GO:0005737	CGI_10002311	1111041103	2296619896	1511349287	2458199488	cytoplasm	other cellular component	C	1												
GO:0005975	CGI_10002311	1111041103	2296619896	1511349287	2458199488	carbohydrate metabolic process	other metabolic processes	P	1												
GO:0006098	CGI_10002311	1111041103	2296619896	1511349287	2458199488	pentose-phosphate shunt	other metabolic processes	P	1												
GO:0005524	CGI_10002375	4427877207	6849195076	5948971466	5129343784	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10002375	4427877207	6849195076	5948971466	5129343784	cytoplasm	other cellular component	C	1												
GO:0006457	CGI_10002375	4427877207	6849195076	5948971466	5129343784	protein folding	protein metabolism	P	1												
GO:0003924	CGI_10002454	14765809884	45625401301	25424860289	38765367661	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10002454	14765809884	45625401301	25424860289	38765367661	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10002454	14765809884	45625401301	25424860289	38765367661	GTP binding	other molecular function	F	1												
GO:0005874	CGI_10002454	14765809884	45625401301	25424860289	38765367661	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10002454	14765809884	45625401301	25424860289	38765367661	microtubule-based process	other biological processes	P	1												
GO:0003924	CGI_10002455	18380938531	60196530690	33071052294	54173500217	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10002455	18380938531	60196530690	33071052294	54173500217	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10002455	18380938531	60196530690	33071052294	54173500217	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10002455	18380938531	60196530690	33071052294	54173500217	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10002455	18380938531	60196530690	33071052294	54173500217	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10002455	18380938531	60196530690	33071052294	54173500217	microtubule-based process	other biological processes	P	1												
GO:0003924	CGI_10002456	17547029433	67688560141	33521735728	60153614381	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10002456	17547029433	67688560141	33521735728	60153614381	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10002456	17547029433	67688560141	33521735728	60153614381	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10002456	17547029433	67688560141	33521735728	60153614381	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10002456	17547029433	67688560141	33521735728	60153614381	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10002456	17547029433	67688560141	33521735728	60153614381	microtubule-based process	other biological processes	P	1												
GO:0005524	CGI_10002594	1721779663	6188360434	2802851066	5796289255	ATP binding	other molecular function	F	1												
GO:0003735	CGI_10002919	645846234	2778697030	1764789616	1504104496	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10002919	645846234	2778697030	1764789616	1504104496	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10002919	645846234	2778697030	1764789616	1504104496	translation	protein metabolism	P	1												
GO:0005509	CGI_10003110	7251343680	17533502744	11385598122	18169446733	calcium ion binding	other molecular function	F	1												
GO:0004298	CGI_10003170	723489619	3825230947	1120204729	3510720898	threonine-type endopeptidase activity	other molecular function	F	1												
GO:0005634	CGI_10003170	723489619	3825230947	1120204729	3510720898	nucleus	nucleus	C	1												
GO:0005737	CGI_10003170	723489619	3825230947	1120204729	3510720898	cytoplasm	other cellular component	C	1												
GO:0005839	CGI_10003170	723489619	3825230947	1120204729	3510720898	proteasome core complex	other cellular component	C	1												
GO:0051603	CGI_10003170	723489619	3825230947	1120204729	3510720898	proteolysis involved in cellular protein catabolic process	protein metabolism	P	1												
GO:0005509	CGI_10003195	809578336	1958871914	1519481465	3584450517	calcium ion binding	other molecular function	F	1												
GO:0005581	CGI_10003195	809578336	1958871914	1519481465	3584450517	collagen	extracellular matrix	C	1												
GO:0000049	CGI_10003310	486072555	1433673651	1030508355	2291957178	tRNA binding	nucleic acid binding activity	F	1												
GO:0004822	CGI_10003310	486072555	1433673651	1030508355	2291957178	isoleucine-tRNA ligase activity	other molecular function	F	1												
GO:0005524	CGI_10003310	486072555	1433673651	1030508355	2291957178	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10003310	486072555	1433673651	1030508355	2291957178	cytoplasm	other cellular component	C	1												
GO:0006428	CGI_10003310	486072555	1433673651	1030508355	2291957178	isoleucyl-tRNA aminoacylation	RNA metabolism	P	1												
GO:0006428	CGI_10003310	486072555	1433673651	1030508355	2291957178	isoleucyl-tRNA aminoacylation	protein metabolism	P	1												
GO:0016021	CGI_10003310	486072555	1433673651	1030508355	2291957178	integral to membrane	other membranes	C	1												
GO:0004096	CGI_10003354	1000684809	3296213246	1733023430	2401574276	catalase activity	other molecular function	F	1												
GO:0006979	CGI_10003354	1000684809	3296213246	1733023430	2401574276	response to oxidative stress	stress response	P	1												
GO:0020037	CGI_10003354	1000684809	3296213246	1733023430	2401574276	heme binding	other molecular function	F	1												
GO:0004096	CGI_10003355	732703697	3403984658	1618659658	3326824454	catalase activity	other molecular function	F	1												
GO:0006979	CGI_10003355	732703697	3403984658	1618659658	3326824454	response to oxidative stress	stress response	P	1												
GO:0020037	CGI_10003355	732703697	3403984658	1618659658	3326824454	heme binding	other molecular function	F	1												
GO:0042744	CGI_10003355	732703697	3403984658	1618659658	3326824454	hydrogen peroxide catabolic process	other metabolic processes	P	1												
GO:0042744	CGI_10003355	732703697	3403984658	1618659658	3326824454	hydrogen peroxide catabolic process	stress response	P	1												
GO:0046872	CGI_10003355	732703697	3403984658	1618659658	3326824454	metal ion binding	other molecular function	F	1												
GO:0005524	CGI_10003417	2612518202	14694187908	6292424042	14293448950	ATP binding	other molecular function	F	1												
GO:0008270	CGI_10003462	1498259249	4123001644	2316566930	4480708998	zinc ion binding	other molecular function	F	1												
GO:0005524	CGI_10003490	2.11E+11	3.93E+11	2.92E+11	4.06E+11	ATP binding	other molecular function	F	1												
GO:0005524	CGI_10003491	2.12E+11	4.01E+11	2.96E+11	4.12E+11	ATP binding	other molecular function	F	1												
GO:0005524	CGI_10003492	2.12E+11	4.15E+11	3.00E+11	4.25E+11	ATP binding	other molecular function	F	1												
GO:0005525	CGI_10003886	934968007	1742073972	1127156559	1784763964	GTP binding	other molecular function	F	1												
GO:0031105	CGI_10003886	934968007	1742073972	1127156559	1784763964	septin complex	cytoskeleton	C	1												
GO:0004129	CGI_10003981	694680943	917104461	1476642171	2695682335	cytochrome-c oxidase activity	transporter activity	F	1												
GO:0005740	CGI_10003981	694680943	917104461	1476642171	2695682335	mitochondrial envelope	mitochondrion	C	1												
GO:0005509	CGI_10004058	924565756	2570774840	1839921010	2312256069	calcium ion binding	other molecular function	F	1												
GO:0006801	CGI_10004092	39278673	3086475580	1993348768	13316379624	superoxide metabolic process	other metabolic processes	P	1												
GO:0046872	CGI_10004092	39278673	3086475580	1993348768	13316379624	metal ion binding	other molecular function	F	1												
GO:0055114	CGI_10004092	39278673	3086475580	1993348768	13316379624	oxidation reduction	other metabolic processes	P	1												
GO:0035091	CGI_10004179	1070385712	1955832243	1215239728	1963681975	phosphoinositide binding	other molecular function	F	1												
GO:0005524	CGI_10004346	2657332113	4735793264	3794239390	4249235534	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10004346	2657332113	4735793264	3794239390	4249235534	cytoplasm	other cellular component	C	1												
GO:0006457	CGI_10004346	2657332113	4735793264	3794239390	4249235534	protein folding	protein metabolism	P	1												
GO:0005524	CGI_10004395	969126140	1664734980	1310233859	1524113101	ATP binding	other molecular function	F	1												
GO:0005737	CGI_10004395	969126140	1664734980	1310233859	1524113101	cytoplasm	other cellular component	C	1												
GO:0006457	CGI_10004395	969126140	1664734980	1310233859	1524113101	protein folding	protein metabolism	P	1												
GO:0005509	CGI_10004478	654410929	3518502129	861324458	1765404140	calcium ion binding	other molecular function	F	1												
GO:0007229	CGI_10004478	654410929	3518502129	861324458	1765404140	integrin-mediated signaling pathway	signal transduction	P	1												
GO:0000287	CGI_10004564	885830126	2309835577	1370207885	1763808452	magnesium ion binding	other molecular function	F	1												
GO:0019509	CGI_10004564	885830126	2309835577	1370207885	1763808452	methionine salvage	other metabolic processes	P	1												
GO:0043874	CGI_10004564	885830126	2309835577	1370207885	1763808452	acireductone synthase activity	other molecular function	F	1												
GO:0016021	CGI_10004590	548072093	2198258975	1033136613	2664311512	integral to membrane	other membranes	C	1												
GO:0003777	CGI_10004652	2621767054	3310747018	2840450657	3948346450	microtubule motor activity	cytoskeletal activity	F	1												
GO:0005524	CGI_10004652	2621767054	3310747018	2840450657	3948346450	ATP binding	other molecular function	F	1												
GO:0007018	CGI_10004652	2621767054	3310747018	2840450657	3948346450	microtubule-based movement	other biological processes	P	1												
GO:0016887	CGI_10004652	2621767054	3310747018	2840450657	3948346450	ATPase activity	other molecular function	F	1												
GO:0030286	CGI_10004652	2621767054	3310747018	2840450657	3948346450	dynein complex	cytoskeleton	C	1												
GO:0003735	CGI_10004762	4808545835	7723309616	6992723514	7677568155	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10004762	4808545835	7723309616	6992723514	7677568155	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10004762	4808545835	7723309616	6992723514	7677568155	translation	protein metabolism	P	1												
GO:0046872	CGI_10004762	4808545835	7723309616	6992723514	7677568155	metal ion binding	other molecular function	F	1												
GO:0005737	CGI_10005185	1392565447	4214195593	2254411938	4883853649	cytoplasm	other cellular component	C	1												
GO:0016810	CGI_10005185	1392565447	4214195593	2254411938	4883853649	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	other molecular function	F	1												
GO:0010968	CGI_10005339	1050065342	2189736574	1198759479	2193573440	regulation of microtubule nucleation	cell organization and biogenesis	P	1												
GO:0031115	CGI_10005339	1050065342	2189736574	1198759479	2193573440	negative regulation of microtubule polymerization	cell organization and biogenesis	P	1												
GO:0031115	CGI_10005339	1050065342	2189736574	1198759479	2193573440	negative regulation of microtubule polymerization	protein metabolism	P	1												
GO:0003777	CGI_10005381	1042010904	2772913511	1404035015	2494494631	microtubule motor activity	cytoskeletal activity	F	1												
GO:0005524	CGI_10005381	1042010904	2772913511	1404035015	2494494631	ATP binding	other molecular function	F	1												
GO:0007018	CGI_10005381	1042010904	2772913511	1404035015	2494494631	microtubule-based movement	other biological processes	P	1												
GO:0016887	CGI_10005381	1042010904	2772913511	1404035015	2494494631	ATPase activity	other molecular function	F	1												
GO:0030286	CGI_10005381	1042010904	2772913511	1404035015	2494494631	dynein complex	cytoskeleton	C	1												
GO:0005391	CGI_10005591	11504926615	25502669258	20738569930	25761862552	sodium:potassium-exchanging ATPase activity	transporter activity	F	1												
GO:0005524	CGI_10005591	11504926615	25502669258	20738569930	25761862552	ATP binding	other molecular function	F	1												
GO:0016021	CGI_10005591	11504926615	25502669258	20738569930	25761862552	integral to membrane	other membranes	C	1												
GO:0046872	CGI_10005591	11504926615	25502669258	20738569930	25761862552	metal ion binding	other molecular function	F	1												
GO:0003824	CGI_10005784	380192550	2786543872	1227338182	3054767153	catalytic activity	other molecular function	F	1												
GO:0046872	CGI_10005784	380192550	2786543872	1227338182	3054767153	metal ion binding	other molecular function	F	1												
GO:0004478	CGI_10006000	1974678957	5028938899	4082363112	3973912433	methionine adenosyltransferase activity	other molecular function	F	1												
GO:0005524	CGI_10006000	1974678957	5028938899	4082363112	3973912433	ATP binding	other molecular function	F	1												
GO:0006556	CGI_10006000	1974678957	5028938899	4082363112	3973912433	S-adenosylmethionine biosynthetic process	other metabolic processes	P	1												
GO:0006730	CGI_10006000	1974678957	5028938899	4082363112	3973912433	one-carbon compound metabolic process	other metabolic processes	P	1												
GO:0046872	CGI_10006000	1974678957	5028938899	4082363112	3973912433	metal ion binding	other molecular function	F	1												
GO:0016301	CGI_10006022	3596814265	4989377166	3459950380	4501956598	kinase activity	kinase activity	F	1												
GO:0003676	CGI_10006413	1855863941	4745386963	3213392978	3831234466	nucleic acid binding	nucleic acid binding activity	F	1												
GO:0004386	CGI_10006413	1855863941	4745386963	3213392978	3831234466	helicase activity	other molecular function	F	1												
GO:0005524	CGI_10006413	1855863941	4745386963	3213392978	3831234466	ATP binding	other molecular function	F	1												
GO:0005509	CGI_10006482	3493553995	3578031031	3409492451	3968295620	calcium ion binding	other molecular function	F	1												
GO:0003735	CGI_10006684	4774826064	9510795766	7622250208	8700674372	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10006684	4774826064	9510795766	7622250208	8700674372	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10006684	4774826064	9510795766	7622250208	8700674372	translation	protein metabolism	P	1												
GO:0005509	CGI_10006807	4686909124	6650447400	4493944694	5071873467	calcium ion binding	other molecular function	F	1												
GO:0005198	CGI_10006964	1134893660	1605305299	1232427299	1296140676	structural molecule activity	other molecular function	F	1												
GO:0006886	CGI_10006964	1134893660	1605305299	1232427299	1296140676	intracellular protein transport	transport	P	1												
GO:0016192	CGI_10006964	1134893660	1605305299	1232427299	1296140676	vesicle-mediated transport	transport	P	1												
GO:0030117	CGI_10006964	1134893660	1605305299	1232427299	1296140676	membrane coat	other membranes	C	1												
GO:0006464	CGI_10007050	1118962708	2493746122	1768210718	2039256004	protein modification process	protein metabolism	P	1												
GO:0008641	CGI_10007050	1118962708	2493746122	1768210718	2039256004	small protein activating enzyme activity	other molecular function	F	1												
GO:0005524	CGI_10007057	1458584462	4306418954	2731533461	3537355841	ATP binding	other molecular function	F	1												
GO:0006464	CGI_10007057	1458584462	4306418954	2731533461	3537355841	protein modification process	protein metabolism	P	1												
GO:0008641	CGI_10007057	1458584462	4306418954	2731533461	3537355841	small protein activating enzyme activity	other molecular function	F	1												
GO:0003735	CGI_10007104	2484180972	6044689054	4238929695	5288867287	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10007104	2484180972	6044689054	4238929695	5288867287	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10007104	2484180972	6044689054	4238929695	5288867287	translation	protein metabolism	P	1												
GO:0008290	CGI_10007483	1152093932	2522164513	1528738820	2144954148	F-actin capping protein complex	cytoskeleton	C	1												
GO:0051016	CGI_10007483	1152093932	2522164513	1528738820	2144954148	barbed-end actin filament capping	cell organization and biogenesis	P	1												
GO:0051016	CGI_10007483	1152093932	2522164513	1528738820	2144954148	barbed-end actin filament capping	protein metabolism	P	1												
GO:0003924	CGI_10007570	19022390542	67212831525	34307761764	59282363152	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10007570	19022390542	67212831525	34307761764	59282363152	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10007570	19022390542	67212831525	34307761764	59282363152	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10007570	19022390542	67212831525	34307761764	59282363152	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10007570	19022390542	67212831525	34307761764	59282363152	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10007570	19022390542	67212831525	34307761764	59282363152	microtubule-based process	other biological processes	P	1												
GO:0004478	CGI_10007643	954695419	2409829336	2294591589	2025340981	methionine adenosyltransferase activity	other molecular function	F	1												
GO:0005524	CGI_10007643	954695419	2409829336	2294591589	2025340981	ATP binding	other molecular function	F	1												
GO:0006556	CGI_10007643	954695419	2409829336	2294591589	2025340981	S-adenosylmethionine biosynthetic process	other metabolic processes	P	1												
GO:0006730	CGI_10007643	954695419	2409829336	2294591589	2025340981	one-carbon compound metabolic process	other metabolic processes	P	1												
GO:0046872	CGI_10007643	954695419	2409829336	2294591589	2025340981	metal ion binding	other molecular function	F	1												
GO:0003857	CGI_10007699	333426392	2158199060	702111253	2122482777	3-hydroxyacyl-CoA dehydrogenase activity	other molecular function	F	1												
GO:0006631	CGI_10007699	333426392	2158199060	702111253	2122482777	fatty acid metabolic process	other metabolic processes	P	1												
GO:0070403	CGI_10007699	333426392	2158199060	702111253	2122482777	NAD binding	other molecular function	F	1												
GO:0003735	CGI_10007702	3293396056	6568453814	5449613106	6527077539	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10007702	3293396056	6568453814	5449613106	6527077539	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10007702	3293396056	6568453814	5449613106	6527077539	translation	protein metabolism	P	1												
GO:0004347	CGI_10007733	1175524255	2734032480	2003915368	2668653503	glucose-6-phosphate isomerase activity	other molecular function	F	1												
GO:0006094	CGI_10007733	1175524255	2734032480	2003915368	2668653503	gluconeogenesis	other metabolic processes	P	1												
GO:0006096	CGI_10007733	1175524255	2734032480	2003915368	2668653503	glycolysis	other metabolic processes	P	1												
GO:0008152	CGI_10007751	963142796	2484834317	2088217134	2268973593	metabolic process	other metabolic processes	P	1												
GO:0070569	CGI_10007751	963142796	2484834317	2088217134	2268973593	uridylyltransferase activity	other molecular function	F	1												
GO:0003735	CGI_10007757	1662149957	4914468178	2932438537	3359781417	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10007757	1662149957	4914468178	2932438537	3359781417	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10007757	1662149957	4914468178	2932438537	3359781417	translation	protein metabolism	P	1												
GO:0006464	CGI_10007774	391116450	1994804334	1065773400	1806892179	protein modification process	protein metabolism	P	1												
GO:0008641	CGI_10007774	391116450	1994804334	1065773400	1806892179	small protein activating enzyme activity	other molecular function	F	1												
GO:0005044	CGI_10007812	1268562406	5454131899	2092465986	5480281475	scavenger receptor activity	signal transduction activity	F	1												
GO:0016020	CGI_10007812	1268562406	5454131899	2092465986	5480281475	membrane	other membranes	C	1												
GO:0003735	CGI_10007986	491530607	2550411168	1169632989	2050054397	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10007986	491530607	2550411168	1169632989	2050054397	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10007986	491530607	2550411168	1169632989	2050054397	translation	protein metabolism	P	1												
GO:0000786	CGI_10008057	970931675	4773634402	1937142177	5262550367	nucleosome	other cellular component	C	1												
GO:0003677	CGI_10008057	970931675	4773634402	1937142177	5262550367	DNA binding	nucleic acid binding activity	F	1												
GO:0005634	CGI_10008057	970931675	4773634402	1937142177	5262550367	nucleus	nucleus	C	1												
GO:0003924	CGI_10008247	13361508498	47243720009	21555817254	41664199086	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10008247	13361508498	47243720009	21555817254	41664199086	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10008247	13361508498	47243720009	21555817254	41664199086	GTP binding	other molecular function	F	1												
GO:0005737	CGI_10008247	13361508498	47243720009	21555817254	41664199086	cytoplasm	other cellular component	C	1												
GO:0005874	CGI_10008247	13361508498	47243720009	21555817254	41664199086	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10008247	13361508498	47243720009	21555817254	41664199086	microtubule-based process	other biological processes	P	1												
GO:0005623	CGI_10008332	592748313	2831692938	927741867	2267509009	cell	other cellular component	C	1												
GO:0016853	CGI_10008332	592748313	2831692938	927741867	2267509009	isomerase activity	other molecular function	F	1												
GO:0045454	CGI_10008332	592748313	2831692938	927741867	2267509009	cell redox homeostasis	other biological processes	P	1												
GO:0006950	CGI_10008390	1250669037	5215593049	2592403473	5701237929	response to stress	stress response	P	1												
GO:0005581	CGI_10008455	1958934117	4867155819	2584628697	4725703132	collagen	extracellular matrix	C	1												
GO:0003735	CGI_10008493	963428576	2148195316	983924404	1537957242	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10008493	963428576	2148195316	983924404	1537957242	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10008493	963428576	2148195316	983924404	1537957242	translation	protein metabolism	P	1												
GO:0016829	CGI_10008531	2115410423	4736876475	2923867528	4470789521	lyase activity	other molecular function	F	1												
GO:0030170	CGI_10008531	2115410423	4736876475	2923867528	4470789521	pyridoxal phosphate binding	other molecular function	F	1												
GO:0003924	CGI_10008567	6838444398	16142637107	8435731796	18165784104	GTPase activity	other molecular function	F	1												
GO:0005200	CGI_10008567	6838444398	16142637107	8435731796	18165784104	structural constituent of cytoskeleton	cytoskeletal activity	F	1												
GO:0005525	CGI_10008567	6838444398	16142637107	8435731796	18165784104	GTP binding	other molecular function	F	1												
GO:0005874	CGI_10008567	6838444398	16142637107	8435731796	18165784104	microtubule	cytoskeleton	C	1												
GO:0007017	CGI_10008567	6838444398	16142637107	8435731796	18165784104	microtubule-based process	other biological processes	P	1												
GO:0003774	CGI_10008717	3768379329	9445127259	6517037768	9776615101	motor activity	cytoskeletal activity	F	1												
GO:0005524	CGI_10008717	3768379329	9445127259	6517037768	9776615101	ATP binding	other molecular function	F	1												
GO:0016459	CGI_10008717	3768379329	9445127259	6517037768	9776615101	myosin complex	cytoskeleton	C	1												
GO:0005741	CGI_10008722	2922849502	9252165856	4675849796	9178477206	mitochondrial outer membrane	mitochondrion	C	1												
GO:0005741	CGI_10008722	2922849502	9252165856	4675849796	9178477206	mitochondrial outer membrane	other membranes	C	1												
GO:0008308	CGI_10008722	2922849502	9252165856	4675849796	9178477206	voltage-gated anion channel activity	transporter activity	F	1												
GO:0016021	CGI_10008722	2922849502	9252165856	4675849796	9178477206	integral to membrane	other membranes	C	1												
GO:0005524	CGI_10008834	4310838916	13358686970	5339928452	11180770779	ATP binding	other molecular function	F	1												
GO:0005509	CGI_10008850	584409943	2071569557	548508020	2340646048	calcium ion binding	other molecular function	F	1												
GO:0004089	CGI_10009059	776106239	2287541148	1755037328	3460730173	carbonate dehydratase activity	other molecular function	F	1												
GO:0006730	CGI_10009059	776106239	2287541148	1755037328	3460730173	one-carbon compound metabolic process	other metabolic processes	P	1												
GO:0008270	CGI_10009059	776106239	2287541148	1755037328	3460730173	zinc ion binding	other molecular function	F	1												
GO:0003735	CGI_10009164	1846071734	5578956633	4509999775	5571340672	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10009164	1846071734	5578956633	4509999775	5571340672	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10009164	1846071734	5578956633	4509999775	5571340672	translation	protein metabolism	P	1												
GO:0000166	CGI_10009395	1899016256	4105560954	3165191766	3519499037	nucleotide binding	other molecular function	F	1												
GO:0003723	CGI_10009395	1899016256	4105560954	3165191766	3519499037	RNA binding	nucleic acid binding activity	F	1												
GO:0005737	CGI_10009395	1899016256	4105560954	3165191766	3519499037	cytoplasm	other cellular component	C	1												
GO:0003735	CGI_10009651	957845287	1972264187	1394479051	1540834022	structural constituent of ribosome	other molecular function	F	1												
GO:0006412	CGI_10009651	957845287	1972264187	1394479051	1540834022	translation	protein metabolism	P	1												
GO:0015935	CGI_10009651	957845287	1972264187	1394479051	1540834022	small ribosomal subunit	translational apparatus	C	1												
GO:0003746	CGI_10009719	984898793	2522617919	1773217586	2825002641	translation elongation factor activity	nucleic acid binding activity	F	1												
GO:0003924	CGI_10009719	984898793	2522617919	1773217586	2825002641	GTPase activity	other molecular function	F	1												
GO:0005525	CGI_10009719	984898793	2522617919	1773217586	2825002641	GTP binding	other molecular function	F	1												
GO:0005623	CGI_10009812	648298390	3049354044	1441986949	2340313911	cell	other cellular component	C	1												
GO:0045454	CGI_10009812	648298390	3049354044	1441986949	2340313911	cell redox homeostasis	other biological processes	P	1												
