GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0032555	purine ribonucleotide binding	molecular_function	1.02E-02	5.52E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0017076	purine nucleotide binding	molecular_function	1.11E-02	6.04E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0032553	ribonucleotide binding	molecular_function	1.15E-02	2.35E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_BRAFLDRAFT_129259.1.1|m.9267,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0016462	pyrophosphatase activity	molecular_function	1.17E-02	7.02E-01	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_TBA2.1.1|m.955,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"
GO:0016818	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	molecular_function	1.20E-02	7.19E-01	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_TBA2.1.1|m.955,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"
GO:0016817	"hydrolase activity, acting on acid anhydrides"	molecular_function	1.24E-02	7.36E-01	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_TBA2.1.1|m.955,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"
GO:0097367	carbohydrate derivative binding	molecular_function	2.07E-02	2.55E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_FLNC.2.5|m.37450,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_CATB.1.2|m.5440,CHOYP_ACT3.3.3|m.66907,CHOYP_BRAFLDRAFT_129259.1.1|m.9267,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_FLNC.2.5|m.37450,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0005200	structural constituent of cytoskeleton	molecular_function	2.54E-02	2.06E-01	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_ANK3.3.9|m.6798,CHOYP_TLN1.4.4|m.33719,CHOYP_SPTCA.1.2|m.1905,CHOYP_TBB4B.1.7|m.12262"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_TLN1.4.4|m.33719,CHOYP_SPTCA.1.2|m.1905,CHOYP_TBB4B.1.7|m.12262,CHOYP_TBA2.1.1|m.955"
GO:0043168	anion binding	molecular_function	8.62E-02	1.95E-01	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_TRIADDRAFT_63204.1.2|m.30701,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_LOC100114310.2.2|m.64227,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_BRAFLDRAFT_129259.1.1|m.9267,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_LOC100114310.2.2|m.64227,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_TRIADDRAFT_63204.1.2|m.30701,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_LOC100372131.1.2|m.36461,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0005524	ATP binding	molecular_function	8.84E-02	9.19E-01	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_ACT.6.27|m.15622,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_GRP75.1.1|m.11678,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960"
