Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_ISCW_ISCW017652.1.1|m.49306	487	8	1	-2.836	2.836	-2.2498	2.2498	0	0.594329	0	CHOYP_ISCW_ISCW017652.1.1|m.49306	Q32PI8	RT27_BOVIN	24.48	433	277	12	6	421	7	406	7.00E-22	100	1	Q32PI8	RT27_BOVIN	reviewed	"28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)"	MRPS27	Bos taurus (Bovine)	415	mitochondrial translational elongation [GO:0070125]; mitochondrial translational initiation [GO:0070124]	GO:0005739; GO:0005743; GO:0005763; GO:0070124; GO:0070125				PF10037;	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; mitochondrial translational elongation [GO:0070125]; mitochondrial translational initiation [GO:0070124]
CHOYP_LOC100372219.1.1|m.11590	546	8	1	-2.783	2.783	-2.233	2.233	0	0.594532	0	CHOYP_LOC100372219.1.1|m.11590	Q92125	ANXA7_XENLA	40.67	359	179	3	186	544	188	512	1.00E-73	249	1	Q92125	ANXA7_XENLA	reviewed	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	anxa7 anx7	Xenopus laevis (African clawed frog)	512		GO:0005509; GO:0005544				PF00191;	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]
CHOYP_LOC100372473.3.5|m.39839	487	9	0	-2.768	2.768	-2.4538	2.4538	0	0.592244	0	CHOYP_LOC100372473.3.5|m.39839	Q6B9X6	VWKA_DICDI	28.81	177	114	5	5	180	121	286	6.00E-12	71.6	1	Q6B9X6	VWKA_DICDI	reviewed	Alpha-protein kinase vwkA (EC 2.7.11.1) (von Willebrand factor A alpha-kinase) (vWF kinase)	vwkA DDB_G0268144	Dictyostelium discoideum (Slime mold)	625	contractile vacuole discharge [GO:0070177]; contractile vacuole organization [GO:0033298]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin II filament organization [GO:0031038]; peptidyl-serine modification [GO:0018209]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]; regulation of sorocarp development [GO:0031156]; sorocarp morphogenesis [GO:0031288]	GO:0000281; GO:0000331; GO:0004672; GO:0004674; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0006971; GO:0018107; GO:0018209; GO:0031038; GO:0031156; GO:0031164; GO:0031288; GO:0033298; GO:0048471; GO:0070177				PF02816;	contractile vacuolar membrane [GO:0031164]; contractile vacuole [GO:0000331]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; contractile vacuole discharge [GO:0070177]; contractile vacuole organization [GO:0033298]; hypotonic response [GO:0006971]; mitotic cytokinesis [GO:0000281]; myosin II filament organization [GO:0031038]; peptidyl-serine modification [GO:0018209]; peptidyl-threonine phosphorylation [GO:0018107]; protein phosphorylation [GO:0006468]; regulation of sorocarp development [GO:0031156]; sorocarp morphogenesis [GO:0031288]
CHOYP_ATC1.1.1|m.5161	764	9	0	-2.767	2.767	-2.3363	2.3363	0	0.593361	0	CHOYP_ATC1.1.1|m.5161	P35224	CTNB_URECA	80.55	761	119	13	11	763	79	818	0	1197	1	P35224	CTNB_URECA	reviewed	Catenin beta (Beta-catenin)		Urechis caupo (Innkeeper worm) (Spoonworm)	818	adherens junction assembly [GO:0034333]; cell adhesion [GO:0007155]	GO:0004871; GO:0005737; GO:0005856; GO:0007155; GO:0034333				PF00514;	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; signal transducer activity [GO:0004871]; adherens junction assembly [GO:0034333]; cell adhesion [GO:0007155]
CHOYP_AMPD2.1.2|m.1295	806	7	1	-2.759	2.759	-2.078	2.078	0	0.596662	0	CHOYP_AMPD2.1.2|m.1295	Q9DBT5	AMPD2_MOUSE	58.28	791	288	11	18	791	13	778	0	904	1	Q9DBT5	AMPD2_MOUSE	reviewed	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)	Ampd2	Mus musculus (Mouse)	798	AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cholesterol homeostasis [GO:0042632]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; glomerular visceral epithelial cell development [GO:0072015]; GTP metabolic process [GO:0046039]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; nucleotide metabolic process [GO:0009117]	GO:0003876; GO:0006188; GO:0009117; GO:0032264; GO:0042632; GO:0046033; GO:0046034; GO:0046039; GO:0046872; GO:0052652; GO:0072015; GO:0097009	PATHWAY: Purine metabolism; IMP biosynthesis via salvage pathway; IMP from AMP: step 1/1.		cd01319;	PF00962;	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; cholesterol homeostasis [GO:0042632]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; glomerular visceral epithelial cell development [GO:0072015]; GTP metabolic process [GO:0046039]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; nucleotide metabolic process [GO:0009117]
CHOYP_BRAFLDRAFT_265162.3.3|m.64003	771	7	0	-2.75	2.75	-2.1371	2.1371	0	0.595792	0	CHOYP_BRAFLDRAFT_265162.3.3|m.64003	Q86TN4	TRPT1_HUMAN	48.4	219	107	3	176	388	4	222	3.00E-55	195	1	Q86TN4	TRPT1_HUMAN	reviewed	tRNA 2'-phosphotransferase 1 (EC 2.7.1.160)	TRPT1	Homo sapiens (Human)	253	"regulation of protein kinase activity [GO:0045859]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"	GO:0000215; GO:0006388; GO:0045859				PF01885;	"tRNA 2'-phosphotransferase activity [GO:0000215]; regulation of protein kinase activity [GO:0045859]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"
CHOYP_LOC574740.1.1|m.29924	840	7	0	-2.648	2.648	-2.0563	2.0563	0	0.597002	0	CHOYP_LOC574740.1.1|m.29924	Q4V8G4	WDR78_RAT	42.75	835	387	15	17	809	12	797	0	626	1	Q4V8G4	WDR78_RAT	reviewed	WD repeat-containing protein 78	Wdr78	Rattus norvegicus (Rat)	803	hematopoietic progenitor cell differentiation [GO:0002244]	GO:0002244				PF00400;	hematopoietic progenitor cell differentiation [GO:0002244]
CHOYP_LOC100375784.4.6|m.27594	5258	8	1	-2.644	2.644	-2.3038	2.3038	0	0.59371	0	CHOYP_LOC100375784.4.6|m.27594	Q4G0P3	HYDIN_HUMAN	42.26	3978	2037	63	1367	5257	1317	5121	0	3096	1	Q4G0P3	HYDIN_HUMAN	reviewed	Hydrocephalus-inducing protein homolog	HYDIN HYDIN1 KIAA1864	Homo sapiens (Human)	5121	axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; trachea development [GO:0060438]; ventricular system development [GO:0021591]	GO:0002064; GO:0003341; GO:0021591; GO:0060438; GO:1904158; GO:1990718				PF15780;PF17213;	axonemal central pair projection [GO:1990718]; axonemal central apparatus assembly [GO:1904158]; cilium movement [GO:0003341]; epithelial cell development [GO:0002064]; trachea development [GO:0060438]; ventricular system development [GO:0021591]
CHOYP_PEAR1.8.16|m.41400	194	7	0	-2.582	2.582	-2.2171	2.2171	0	0.594729	0	CHOYP_PEAR1.8.16|m.41400	B4PD96	CUE_DROYA	40.58	69	31	3	114	181	373	432	0.0000003	53.1	1	B4PD96	CUE_DROYA	reviewed	Protein cueball	cue GE20954	Drosophila yakuba (Fruit fly)	644	oogenesis [GO:0048477]; primary spermatocyte growth [GO:0007285]; sleep [GO:0030431]; spermatogenesis [GO:0007283]; triglyceride homeostasis [GO:0070328]	GO:0005509; GO:0005886; GO:0007283; GO:0007285; GO:0016021; GO:0030431; GO:0048477; GO:0070328				PF00058;	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; oogenesis [GO:0048477]; primary spermatocyte growth [GO:0007285]; sleep [GO:0030431]; spermatogenesis [GO:0007283]; triglyceride homeostasis [GO:0070328]
CHOYP_PSIP1.1.1|m.61157	1011	6	0	-2.581	2.581	-2.0208	2.0208	0	0.597583	0	CHOYP_PSIP1.1.1|m.61157	Q9Y3E1	HDGR3_HUMAN	56.72	134	52	2	8	136	9	141	1.00E-41	157	1	Q9Y3E1	HDGR3_HUMAN	reviewed	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFRP3 HDGF2 CGI-142	Homo sapiens (Human)	203	cell proliferation [GO:0008283]; microtubule polymerization [GO:0046785]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]	GO:0005634; GO:0005654; GO:0005829; GO:0007026; GO:0008017; GO:0008283; GO:0015631; GO:0031175; GO:0046785				PF00855;	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; microtubule binding [GO:0008017]; tubulin binding [GO:0015631]; cell proliferation [GO:0008283]; microtubule polymerization [GO:0046785]; negative regulation of microtubule depolymerization [GO:0007026]; neuron projection development [GO:0031175]
CHOYP_contig_008452|m.9831	534	7	0	-2.544	2.544	-2.1247	2.1247	0	0.595968	0																												
CHOYP_BRAFLDRAFT_121667.1.2|m.12193	347	7	0	-2.526	2.526	-2.1319	2.1319	0	0.595865	0																												
CHOYP_TVAG_355490.6.22|m.13410	1340	33	4	-2.483	2.483	-4.3226	4.3226	0	0.586531	0																												
CHOYP_contig_039169|m.44357	402	6	1	-2.444	2.444	-2.013	2.013	0	0.597715	0																												
CHOYP_LOC577371.1.2|m.46335	4668	23	3	-2.427	2.427	-3.5069	3.5069	0	0.587792	0	CHOYP_LOC577371.1.2|m.46335	Q8TE73	DYH5_HUMAN	67.66	4648	1446	14	34	4667	20	4624	0	6527	1	Q8TE73	DYH5_HUMAN	reviewed	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)"	DNAH5 DNAHC5 HL1 KIAA1603	Homo sapiens (Human)	4624	cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]	GO:0003341; GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005930; GO:0007368; GO:0007507; GO:0016887; GO:0021670; GO:0030317; GO:0036157; GO:0036158; GO:0060271				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	axoneme [GO:0005930]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]
CHOYP_DDB_G0275195.1.1|m.47584	524	24	3	-2.405	2.405	-3.765	3.765	0	0.587304	0																												
CHOYP_TVAG_355490.15.22|m.47579	1375	67	8	-2.404	2.404	-6.2734	6.2734	0	0.585775	0																												
CHOYP_CBR-GLY-5.1.1|m.26441	643	6	1	-2.386	2.386	-2.11	2.11	0	0.596181	0	CHOYP_CBR-GLY-5.1.1|m.26441	Q95ZJ1	GALT5_CAEEL	61.22	526	187	8	131	641	97	620	0	662	1	Q95ZJ1	GALT5_CAEEL	reviewed	Polypeptide N-acetylgalactosaminyltransferase 5 (pp-GaNTase 5) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)	gly-5 Y39E4B.12	Caenorhabditis elegans	626	protein O-linked glycosylation via threonine [GO:0018243]	GO:0000139; GO:0004653; GO:0016021; GO:0018243; GO:0030246; GO:0046872	PATHWAY: Protein modification; protein glycosylation.			PF00535;PF00652;	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein O-linked glycosylation via threonine [GO:0018243]
CHOYP_BRAFLDRAFT_108792.4.5|m.45892	5712	13	2	-2.315	2.315	-2.796	2.796	0	0.590029	0	CHOYP_BRAFLDRAFT_108792.4.5|m.45892	P0C6F1	DYH2_MOUSE	55.92	1234	537	2	502	1729	425	1657	0	1447	1	P0C6F1	DYH2_MOUSE	reviewed	"Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)"	Dnah2 Dnahc2	Mus musculus (Mouse)	4456	microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0016887; GO:0031514; GO:0036156				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	cytoplasm [GO:0005737]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]
CHOYP_XRN2.1.1|m.13943	985	12	2	-2.284	2.284	-2.6591	2.6591	0	0.590769	0	CHOYP_XRN2.1.1|m.13943	Q5ZIP4	XRN2_CHICK	63.29	839	294	8	1	837	1	827	0	1064	1	Q5ZIP4	XRN2_CHICK	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-)	XRN2 RCJMB04_24h23	Gallus gallus (Chicken)	949	"cell growth [GO:0016049]; DNA catabolic process, exonucleolytic [GO:0000738]; DNA-templated transcription, termination [GO:0006353]; mRNA processing [GO:0006397]; regulation of transcription, DNA-templated [GO:0006355]; spermatogenesis [GO:0007283]"	GO:0000738; GO:0001147; GO:0003723; GO:0004534; GO:0005730; GO:0006353; GO:0006355; GO:0006397; GO:0007283; GO:0008409; GO:0016020; GO:0016049; GO:0016235; GO:0046872				PF03159;	"aggresome [GO:0016235]; membrane [GO:0016020]; nucleolus [GO:0005730]; 5'-3' exonuclease activity [GO:0008409]; 5'-3' exoribonuclease activity [GO:0004534]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; transcription termination site sequence-specific DNA binding [GO:0001147]; cell growth [GO:0016049]; DNA catabolic process, exonucleolytic [GO:0000738]; DNA-templated transcription, termination [GO:0006353]; mRNA processing [GO:0006397]; regulation of transcription, DNA-templated [GO:0006355]; spermatogenesis [GO:0007283]"
CHOYP_MDN1.3.8|m.3846	754	36	5	-2.276	2.276	-4.754	4.754	0	0.586161	0																												
CHOYP_LOC100485383.1.1|m.52650	520	24	4	-2.098	2.098	-3.5565	3.5565	0	0.587699	0																												
CHOYP_TVAG_355490.7.22|m.16997	1470	36	6	-2.069	2.069	-4.6078	4.6078	0	0.586279	0																												
CHOYP_BRAFLDRAFT_214346.1.1|m.56462	357	10	2	-2.028	2.028	-2.3104	2.3104	0	0.593638	0	CHOYP_BRAFLDRAFT_214346.1.1|m.56462	Q00988	CY1_KLULA	49.11	281	136	4	64	339	14	292	1.00E-84	265	1	Q00988	CY1_KLULA	reviewed	"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	CYT1 KLLA0F16555g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	292	"mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"	GO:0005750; GO:0006122; GO:0020037; GO:0045153; GO:0046872				PF02167;	"mitochondrial respiratory chain complex III [GO:0005750]; electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity [GO:0045153]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
CHOYP_AT1.1.1|m.66793	659	9	2	-1.985	1.985	-2.2921	2.2921	0	0.59384	0	CHOYP_AT1.1.1|m.66793	Q9Y345	SC6A5_HUMAN	46.82	628	288	13	4	623	187	776	0	544	1	Q9Y345	SC6A5_HUMAN	reviewed	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	SLC6A5 GLYT2 NET1	Homo sapiens (Human)	797	"chemical synaptic transmission [GO:0007268]; glycine import [GO:0036233]; synaptic transmission, glycinergic [GO:0060012]; transport [GO:0006810]"	GO:0005328; GO:0005886; GO:0005887; GO:0006810; GO:0007268; GO:0015375; GO:0016021; GO:0036233; GO:0046872; GO:0060012				PF00209;	"integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; glycine:sodium symporter activity [GO:0015375]; metal ion binding [GO:0046872]; neurotransmitter:sodium symporter activity [GO:0005328]; chemical synaptic transmission [GO:0007268]; glycine import [GO:0036233]; synaptic transmission, glycinergic [GO:0060012]; transport [GO:0006810]"
CHOYP_CBLN3.1.2|m.29253	598	9	2	-1.964	1.964	-2.3984	2.3984	0	0.592743	0	CHOYP_CBLN3.1.2|m.29253	Q2KIX7	HP251_BOVIN	30.43	115	75	2	235	345	98	211	0.00000005	57	1	Q2KIX7	HP251_BOVIN	reviewed	Protein HP-25 homolog 1		Bos taurus (Bovine)	212		GO:0005576; GO:0005581				PF00386;PF01391;	collagen trimer [GO:0005581]; extracellular region [GO:0005576]
CHOYP_BRAFLDRAFT_80934.1.2|m.23714	177	8	2	-1.948	1.948	-2.1434	2.1434	0	0.595703	0																												
CHOYP_BRAFLDRAFT_117858.3.3|m.61651	430	9	2	-1.933	1.933	-2.058	2.058	0	0.596975	0	CHOYP_BRAFLDRAFT_117858.3.3|m.61651	Q5PPV2	TEKT4_XENLA	52.08	432	195	3	1	429	1	423	1.00E-147	434	1	Q5PPV2	TEKT4_XENLA	reviewed	Tektin-4	tekt4	Xenopus laevis (African clawed frog)	446		GO:0005737; GO:0005874; GO:0005929					cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]
CHOYP_LOC100642881.1.1|m.14183	897	9	2	-1.924	1.924	-2.2676	2.2676	0	0.594119	0	CHOYP_LOC100642881.1.1|m.14183	Q8NCN5	PDPR_HUMAN	46.51	860	441	12	29	883	17	862	0	746	1	Q8NCN5	PDPR_HUMAN	reviewed	"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (PDPr)"	PDPR KIAA1990	Homo sapiens (Human)	879	regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]	GO:0004741; GO:0005759; GO:0010510; GO:0016491				PF01266;PF16350;PF01571;PF08669;	mitochondrial matrix [GO:0005759]; [pyruvate dehydrogenase (lipoamide)] phosphatase activity [GO:0004741]; oxidoreductase activity [GO:0016491]; regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0010510]
CHOYP_LOC100533383.1.2|m.10358	692	9	2	-1.885	1.885	-2.2157	2.2157	0	0.594746	0	CHOYP_LOC100533383.1.2|m.10358	Q2U5T5	VAC8_ASPOR	27.61	268	176	8	305	566	108	363	3.00E-10	67	1	Q2U5T5	VAC8_ASPOR	reviewed	Vacuolar protein 8	vac8 AO090113000014	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	578		GO:0005774				PF00514;	vacuolar membrane [GO:0005774]
CHOYP_BRAFLDRAFT_89961.3.3|m.49198	180	8	2	-1.859	1.859	-2.1337	2.1337	0	0.59584	0																												
CHOYP_LOC100181095.1.1|m.8314	1930	13	3	-1.801	1.801	-2.447	2.447	0	0.592303	0	CHOYP_LOC100181095.1.1|m.8314	Q9C093	SPEF2_HUMAN	40.97	1279	666	21	1	1264	1	1205	0	873	1	Q9C093	SPEF2_HUMAN	reviewed	Sperm flagellar protein 2 (Protein KPL2)	SPEF2 KIAA1770 KPL2	Homo sapiens (Human)	1822						PF06294;	
CHOYP_LOC100369935.1.1|m.40124	705	17	4	-1.791	1.791	-2.9443	2.9443	0	0.589353	0	CHOYP_LOC100369935.1.1|m.40124	Q96M32	KAD7_HUMAN	51.77	707	326	5	10	702	16	721	0	695	1	Q96M32	KAD7_HUMAN	reviewed	Adenylate kinase 7 (AK 7) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 7)	AK7	Homo sapiens (Human)	723	cell projection organization [GO:0030030]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]	GO:0004017; GO:0004127; GO:0004550; GO:0005524; GO:0005829; GO:0006165; GO:0009142; GO:0015949; GO:0019206; GO:0030030			cd01428;	PF05186;	cytosol [GO:0005829]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; nucleoside diphosphate kinase activity [GO:0004550]; nucleoside kinase activity [GO:0019206]; cell projection organization [GO:0030030]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleoside diphosphate phosphorylation [GO:0006165]; nucleoside triphosphate biosynthetic process [GO:0009142]
CHOYP_MUC5A.1.2|m.43407	264	17	4	-1.778	1.778	-2.8614	2.8614	0	0.589719	0																												
CHOYP_LOC100374422.1.2|m.26376	4703	25	6	-1.733	1.733	-3.6365	3.6365	0	0.587546	0	CHOYP_LOC100374422.1.2|m.26376	Q9MBF8	DYH1B_CHLRE	32.78	4545	2728	71	307	4700	142	4510	0	2461	1	Q9MBF8	DYH1B_CHLRE	reviewed	"Dynein-1-beta heavy chain, flagellar inner arm I1 complex (1-beta DHC) (Dynein-1, subspecies f)"	DHC10 IDA2	Chlamydomonas reinhardtii (Chlamydomonas smithii)	4513	cilium movement involved in cell motility [GO:0060294]; inner dynein arm assembly [GO:0036159]	GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005930; GO:0008017; GO:0016887; GO:0031514; GO:0036156; GO:0036159; GO:0060294				PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	axoneme [GO:0005930]; cytoplasm [GO:0005737]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; cilium movement involved in cell motility [GO:0060294]; inner dynein arm assembly [GO:0036159]
