Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_PAN2.1.1|m.44691	238	248	395	0.238	0.238	3.0373	3.0373	0	0	0.586652	CHOYP_PAN2.1.1|m.44691	Q25381	ACTM_LYTPI	71.3	108	30	1	13	120	27	133	1.00E-46	159	1	Q25381	ACTM_LYTPI	reviewed	"Actin, muscle (LPM) (Fragment)"		Lytechinus pictus (Painted sea urchin)	172		GO:0005524; GO:0005737; GO:0005856				PF00022;	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]
CHOYP_LOC587133.1.1|m.61281	156	48	103	0.537	0.537	3.0205	3.0205	0	0	0.586684	CHOYP_LOC587133.1.1|m.61281	P72745	Y1101_SYNY3	38.83	103	61	1	51	151	6	108	4.00E-14	68.9	1	P72745	Y1101_SYNY3	reviewed	Universal stress protein Slr1101 (USP Slr1101)	slr1101	Synechocystis sp. (strain PCC 6803 / Kazusa)	108	response to stress [GO:0006950]	GO:0006950				PF00582;	response to stress [GO:0006950]
CHOYP_RL8.10.10|m.65636	259	27	69	0.708	0.708	2.9843	2.9843	0	0	0.586758	CHOYP_RL8.10.10|m.65636	P13023	RL8_DICDI	69.05	252	77	1	1	251	1	252	5.00E-126	365	1	P13023	RL8_DICDI	reviewed	60S ribosomal protein L8 (60S ribosomal protein L2)	rpl8 rpgA rpl2 V1 DDB_G0274113	Dictyostelium discoideum (Slime mold)	255	cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003735; GO:0022625				PF00181;PF03947;	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]
CHOYP_TAGL3.1.1|m.31031	167	50	103	0.506	0.506	2.9624	2.9624	0	0	0.586804	CHOYP_TAGL3.1.1|m.31031	P37805	TAGL3_RAT	32.7	159	94	6	6	162	4	151	6.00E-11	61.6	1	P37805	TAGL3_RAT	reviewed	Transgelin-3 (Neuronal protein 22) (NP22) (Neuronal protein NP25)	Tagln3 Np25	Rattus norvegicus (Rat)	199					cd00014;	PF00402;PF00307;	
CHOYP_contig_041958|m.48141	140	30	71	0.634	0.634	2.9121	2.9121	0	0	0.586915																												
CHOYP_GALK2.1.2|m.5222	468	5	25	1.442	1.442	2.855	2.855	0	0	0.587048	CHOYP_GALK2.1.2|m.5222	Q5XIG6	GALK2_RAT	57.53	445	187	2	17	461	14	456	4.00E-178	514	1	Q5XIG6	GALK2_RAT	reviewed	N-acetylgalactosamine kinase (EC 2.7.1.157) (GalNAc kinase) (Galactokinase 2)	Galk2	Rattus norvegicus (Rat)	458	galactose metabolic process [GO:0006012]	GO:0004335; GO:0005524; GO:0005737; GO:0006012; GO:0033858				PF10509;PF08544;PF00288;	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; N-acetylgalactosamine kinase activity [GO:0033858]; galactose metabolic process [GO:0006012]
CHOYP_HSP7D.3.3|m.41778	316	8	33	1.189	1.189	2.8387	2.8387	0	0	0.587087	CHOYP_HSP7D.3.3|m.41778	O18373	SPS1_DROME	83.5	309	51	0	1	309	90	398	0	563	1	O18373	SPS1_DROME	reviewed	"Selenide, water dikinase (EC 2.7.9.3) (Protein patufet) (Selenium donor protein) (Selenophosphate synthase) (dSelD)"	SelD PTF1 ptuf CG8553	Drosophila melanogaster (Fruit fly)	398	cell cycle [GO:0007049]; cell proliferation [GO:0008283]; glutamine metabolic process [GO:0006541]; imaginal disc development [GO:0007444]; mitochondrion organization [GO:0007005]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; neurogenesis [GO:0022008]; positive regulation of cell proliferation [GO:0008284]; regulation of glucose metabolic process [GO:0010906]; selenocysteine biosynthetic process [GO:0016260]	GO:0005524; GO:0006541; GO:0007005; GO:0007049; GO:0007444; GO:0008283; GO:0008284; GO:0010906; GO:0016260; GO:0016301; GO:0022008; GO:2000378				PF00586;PF02769;	ATP binding [GO:0005524]; kinase activity [GO:0016301]; cell cycle [GO:0007049]; cell proliferation [GO:0008283]; glutamine metabolic process [GO:0006541]; imaginal disc development [GO:0007444]; mitochondrion organization [GO:0007005]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; neurogenesis [GO:0022008]; positive regulation of cell proliferation [GO:0008284]; regulation of glucose metabolic process [GO:0010906]; selenocysteine biosynthetic process [GO:0016260]
CHOYP_RL9.4.6|m.43062	143	26	63	0.643	0.643	2.8314	2.8314	0	0	0.587105	CHOYP_RL9.4.6|m.43062	P50882	RL9_DROME	76.43	140	32	1	1	139	47	186	2.00E-71	219	1	P50882	RL9_DROME	reviewed	60S ribosomal protein L9	RpL9 M(2)32D CG6141	Drosophila melanogaster (Fruit fly)	190	centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003723; GO:0003735; GO:0005840; GO:0019843; GO:0022625; GO:0022626; GO:0051298				PF00347;	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; ribosome [GO:0005840]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]
CHOYP_CDPK5.1.1|m.6214	200	59	117	0.46	0.46	2.8243	2.8243	0	0	0.587123	CHOYP_CDPK5.1.1|m.6214	P04630	CALL_CAEEL	35.61	132	78	2	71	195	25	156	1.00E-18	83.6	1	P04630	CALL_CAEEL	reviewed	Calmodulin-like protein	cal-1 cmd-1 C13C12.1	Caenorhabditis elegans	161		GO:0005509			cd00051;	PF13499;	calcium ion binding [GO:0005509]
CHOYP_LMO7.1.1|m.27803	1571	7	28	1.217	1.217	2.7857	2.7857	0	0	0.587219	CHOYP_LMO7.1.1|m.27803	Q9UPQ0	LIMC1_HUMAN	32.11	436	230	19	31	436	23	422	9.00E-32	139	1	Q9UPQ0	LIMC1_HUMAN	reviewed	LIM and calponin homology domains-containing protein 1	LIMCH1 KIAA1102	Homo sapiens (Human)	1083	actomyosin structure organization [GO:0031032]	GO:0008270; GO:0031032			cd00014;	PF00307;PF15949;PF00412;	zinc ion binding [GO:0008270]; actomyosin structure organization [GO:0031032]
CHOYP_contig_016017|m.18760	276	19	51	0.775	0.775	2.7781	2.7781	0	0	0.587239																												
CHOYP_contig_027562|m.31253	242	21	53	0.678	0.678	2.7346	2.7346	0	0	0.587352																												
CHOYP_LOC100180023.1.7|m.11060	150	43	91	0.524	0.524	2.7145	2.7145	0	0	0.587406	CHOYP_LOC100180023.1.7|m.11060	P42297	YXIE_BACSU	26.97	152	94	5	6	148	5	148	0.000000008	54.3	1	P42297	YXIE_BACSU	reviewed	Universal stress protein YxiE (USP YxiE)	yxiE BSU39250 N17E	Bacillus subtilis (strain 168)	148	response to stress [GO:0006950]	GO:0006950				PF00582;	response to stress [GO:0006950]
CHOYP_NEMVEDRAFT_V1G97278.1.2|m.34546	754	8	28	1.038	1.038	2.6998	2.6998	0	0	0.587447	CHOYP_NEMVEDRAFT_V1G97278.1.2|m.34546	Q9GLK0	TGM1_CANLF	36.96	698	423	9	55	748	101	785	2.00E-153	474	1	Q9GLK0	TGM1_CANLF	reviewed	Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)	TGM1	Canis lupus familiaris (Dog) (Canis familiaris)	815	keratinization [GO:0031424]; peptide cross-linking [GO:0018149]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]	GO:0003810; GO:0010838; GO:0016020; GO:0018149; GO:0031424; GO:0045787; GO:0046872				PF00927;PF01841;PF00868;	membrane [GO:0016020]; metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; keratinization [GO:0031424]; peptide cross-linking [GO:0018149]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]
CHOYP_EF-1A.1.9|m.5616	111	26	60	0.606	0.606	2.5967	2.5967	0	0	0.587754																												
CHOYP_CGL.1.2|m.31960	407	24	56	0.604	0.604	2.5952	2.5952	0	0	0.587759	CHOYP_CGL.1.2|m.31960	Q60HG7	CGL_MACFA	68.72	390	121	1	7	396	15	403	0	563	1	Q60HG7	CGL_MACFA	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH QccE-22305	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	405	cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; negative regulation of apoptotic process [GO:0043066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]; protein sulfhydration [GO:0044524]	GO:0004123; GO:0005737; GO:0018272; GO:0019344; GO:0030170; GO:0043066; GO:0043123; GO:0044524; GO:0044540; GO:0051092; GO:0070814; GO:0080146	PATHWAY: Amino-acid biosynthesis; L-cysteine biosynthesis; L-cysteine from L-homocysteine and L-serine: step 2/2.		cd00614;	PF01053;	cytoplasm [GO:0005737]; cystathionine gamma-lyase activity [GO:0004123]; L-cysteine desulfhydrase activity [GO:0080146]; L-cystine L-cysteine-lyase (deaminating) [GO:0044540]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; negative regulation of apoptotic process [GO:0043066]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein sulfhydration [GO:0044524]; protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]
CHOYP_EF-1A.5.9|m.37988	233	112	193	0.309	0.309	2.5876	2.5876	0	0	0.587784	CHOYP_EF-1A.5.9|m.37988	P86939	EF1A2_TRYB2	76.34	224	51	1	4	225	199	422	4.00E-120	356	1	P86939	EF1A2_TRYB2	reviewed	Elongation factor 1-alpha 2 (EF-1-alpha 2)	Tb10.70.5670	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	449	calcium-mediated signaling [GO:0019722]; microtubule-based process [GO:0007017]	GO:0003746; GO:0003924; GO:0005516; GO:0005525; GO:0005622; GO:0005737; GO:0007017; GO:0019722				PF03144;PF03143;	cytoplasm [GO:0005737]; intracellular [GO:0005622]; calmodulin binding [GO:0005516]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; calcium-mediated signaling [GO:0019722]; microtubule-based process [GO:0007017]
CHOYP_contig_024175|m.27461	418	8	27	1.01	1.01	2.5657	2.5657	0	0	0.587858																												
CHOYP_GLIPR1L1.1.1|m.41745	240	4	19	1.406	1.406	2.5516	2.5516	0	0	0.587908	CHOYP_GLIPR1L1.1.1|m.41745	Q7T141	PI15A_DANRE	38.55	179	88	6	36	195	72	247	5.00E-30	117	1	Q7T141	PI15A_DANRE	reviewed	Peptidase inhibitor 15-A	pi15a pi15 si:rp71-1m12.1	Danio rerio (Zebrafish) (Brachydanio rerio)	260		GO:0005576; GO:0030414				PF00188;	extracellular region [GO:0005576]; peptidase inhibitor activity [GO:0030414]
CHOYP_LOC100114171.1.1|m.50280	608	33	70	0.541	0.541	2.5319	2.5319	0	0	0.587981	CHOYP_LOC100114171.1.1|m.50280	O42254	IF2B1_CHICK	35.33	600	342	13	22	601	1	574	3.00E-104	333	1	O42254	IF2B1_CHICK	reviewed	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zip-code binding polypeptide) (Zipcode-binding protein 1) (ZBP-1)	IGF2BP1 VICKZ1 ZBP1	Gallus gallus (Chicken)	576	CRD-mediated mRNA stabilization [GO:0070934]; mRNA transport [GO:0051028]; negative regulation of translation [GO:0017148]; neuronal stem cell population maintenance [GO:0097150]; pallium cell proliferation in forebrain [GO:0022013]; positive regulation of neuron projection development [GO:0010976]; regulation of mRNA stability involved in response to stress [GO:0010610]	GO:0000166; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005829; GO:0010494; GO:0010610; GO:0010976; GO:0017148; GO:0022013; GO:0030027; GO:0030175; GO:0030426; GO:0045182; GO:0048027; GO:0048471; GO:0051028; GO:0070934; GO:0070937; GO:0097150				PF00013;PF00076;	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]; translation regulator activity [GO:0045182]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA transport [GO:0051028]; negative regulation of translation [GO:0017148]; neuronal stem cell population maintenance [GO:0097150]; pallium cell proliferation in forebrain [GO:0022013]; positive regulation of neuron projection development [GO:0010976]; regulation of mRNA stability involved in response to stress [GO:0010610]
CHOYP_LOC100211409.1.1|m.4742	242	14	37	0.787	0.787	2.4978	2.4978	0	0	0.588116	CHOYP_LOC100211409.1.1|m.4742	P04792	HSPB1_HUMAN	38.67	75	43	2	161	233	95	168	3.00E-10	60.8	1	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; movement of cell or subcellular component [GO:0006928]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	GO:0000502; GO:0001895; GO:0001932; GO:0003723; GO:0005080; GO:0005615; GO:0005634; GO:0005737; GO:0005819; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0006446; GO:0006469; GO:0006928; GO:0006986; GO:0008426; GO:0009615; GO:0010506; GO:0019901; GO:0030018; GO:0031012; GO:0032731; GO:0035556; GO:0035924; GO:0038033; GO:0042535; GO:0042802; GO:0043066; GO:0043122; GO:0043130; GO:0043488; GO:0043536; GO:0044183; GO:0045766; GO:0048010; GO:0061077; GO:0070062; GO:0070527; GO:0099641; GO:1902176; GO:1904115; GO:2001028				PF00011;	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]; identical protein binding [GO:0042802]; protein binding involved in protein folding [GO:0044183]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; movement of cell or subcellular component [GO:0006928]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
CHOYP_CELF2.2.4|m.22506	493	2	17	2.031	2.031	2.4834	2.4834	0	0	0.588177	CHOYP_CELF2.2.4|m.22506	Q6P0B1	CELF2_DANRE	57.34	518	153	14	14	492	26	514	0	524	1	Q6P0B1	CELF2_DANRE	reviewed	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (RNA-binding protein BRUNOL-3)	celf2 cugbp2 etr3	Danio rerio (Zebrafish) (Brachydanio rerio)	514	mRNA processing [GO:0006397]	GO:0000166; GO:0003723; GO:0005634; GO:0005737; GO:0006397			cd12631;cd12634;cd12638;	PF00076;	cytoplasm [GO:0005737]; nucleus [GO:0005634]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]
CHOYP_contig_016567|m.19514	128	12	34	0.839	0.839	2.4802	2.4802	0	0	0.588191																												
