GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0044449	contractile fiber part	cellular_component	8.22E-03	8.89E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_MLE.1.9|m.15462"
GO:0008091	spectrin	cellular_component	1.18E-02	6.24E-04	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_LOC100377364.2.2|m.52803"
GO:0030017	sarcomere	cellular_component	4.59E-02	5.17E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_MLE.1.9|m.15462"
GO:0030863	cortical cytoskeleton	cellular_component	6.60E-02	1.29E-03	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100377364.2.2|m.52803"
GO:0005581	collagen trimer	cellular_component	7.56E-02	4.26E-01	"CHOYP_RGD1561408.1.2|m.4308,CHOYP_MATN1.3.5|m.46206,CHOYP_LOC101173335.2.4|m.33982,CHOYP_MATN1.2.5|m.45361,CHOYP_CO6A5.1.6|m.5838"	"CHOYP_RGD1561408.1.2|m.4308,CHOYP_MATN1.3.5|m.46206,CHOYP_LOC101173335.2.4|m.33982,CHOYP_MATN1.2.5|m.45361,CHOYP_CO6A5.1.6|m.5838"
GO:0030018	Z disc	cellular_component	7.56E-02	4.26E-01	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_HSP90AA1.1.1|m.14867"
GO:0005938	cell cortex	cellular_component	2.66E-01	1.08E-02	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100377364.2.2|m.52803"
GO:0030864	cortical actin cytoskeleton	cellular_component	3.82E-01	4.20E-03	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100377364.2.2|m.52803"
GO:0099738	cell cortex region	cellular_component	1.00E+00	2.46E-02	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100377364.2.2|m.52803"
GO:0042470	melanosome	cellular_component	1.00E+00	9.46E-03	"CHOYP_CLH1.2.2|m.22327,CHOYP_PDIA1.1.1|m.5297,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_LOC594315.1.1|m.28047,CHOYP_1433E.1.2|m.3638,CHOYP_CATB.1.2|m.5440,CHOYP_CLH1.2.2|m.22327,CHOYP_PDIA1.1.1|m.5297,CHOYP_HSP90AA1.1.1|m.14867"
GO:0005863	striated muscle myosin thick filament	cellular_component	1.00E+00	5.25E-02	CHOYP_HMCN1.23.44|m.42684	"CHOYP_HMCN1.23.44|m.42684,CHOYP_MLE.1.9|m.15462"
GO:0044421	extracellular region part	cellular_component	1.00E+00	5.50E-02	"CHOYP_VIGLN.1.2|m.34766,CHOYP_DYHC1.1.1|m.2432,CHOYP_RGD1561408.1.2|m.4308,CHOYP_BRAFLDRAFT_115608.1.1|m.25984,CHOYP_LOC101173335.2.4|m.33982,CHOYP_ATPA.1.1|m.50245,CHOYP_ABCF2.1.2|m.28362,CHOYP_contig_043818|m.50622,CHOYP_MBCDH18.1.1|m.34344,CHOYP_PDIA1.1.1|m.5297,CHOYP_CHER.1.1|m.63350,CHOYP_MATN1.3.5|m.46206,CHOYP_LOC100636493.1.1|m.65727,CHOYP_TLN1.4.4|m.33719,CHOYP_LOC100875585.1.1|m.8714,CHOYP_FLNC.2.5|m.37450,CHOYP_MATN1.2.5|m.45361,CHOYP_CO6A5.1.6|m.5838"	"CHOYP_LOC594315.1.1|m.28047,CHOYP_RGD1561408.1.2|m.4308,CHOYP_BRAFLDRAFT_115608.1.1|m.25984,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_PSA.1.1|m.27259,CHOYP_NEMVEDRAFT_V1G120119.1.2|m.6082,CHOYP_MBCDH18.1.1|m.34344,CHOYP_CATB.1.2|m.5440,CHOYP_PDIA1.1.1|m.5297,CHOYP_MATN1.3.5|m.46206,CHOYP_2AAA.1.1|m.13306,CHOYP_MATN1.2.5|m.45361,CHOYP_CO6A5.1.6|m.5838,CHOYP_VIGLN.1.2|m.34766,CHOYP_DYHC1.1.1|m.2432,CHOYP_LOC101173335.2.4|m.33982,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100372131.1.2|m.36461,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100636493.1.1|m.65727,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_GRP75.1.1|m.11678,CHOYP_LOC100377364.2.2|m.52803"
GO:0048770	pigment granule	cellular_component	1.00E+00	9.46E-03	"CHOYP_CLH1.2.2|m.22327,CHOYP_PDIA1.1.1|m.5297,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_LOC594315.1.1|m.28047,CHOYP_1433E.1.2|m.3638,CHOYP_CATB.1.2|m.5440,CHOYP_CLH1.2.2|m.22327,CHOYP_PDIA1.1.1|m.5297,CHOYP_HSP90AA1.1.1|m.14867"
GO:0045177	apical part of cell	cellular_component	1.00E+00	5.73E-02	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100636493.1.1|m.65727,CHOYP_MBCDH18.1.1|m.34344"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100648516.1.1|m.64902,CHOYP_LOC100636493.1.1|m.65727,CHOYP_MBCDH18.1.1|m.34344,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100377364.2.2|m.52803"
GO:0045179	apical cortex	cellular_component	1.00E+00	8.38E-03	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100377364.2.2|m.52803"
