Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown																												
CHOYP_SSPO.6.14|m.26542	1649	31	57	32	17	20	6	-1.018	1.018	-5.7927	5.7927	0	0.542063	0	CHOYP_SSPO.6.14|m.26542	Q2PC93	SSPO_CHICK	26.55	580	298	24	955	1504	2572	3053	7.00E-34	147	1	Q2PC93	SSPO_CHICK	reviewed	SCO-spondin	SSPO	Gallus gallus (Chicken)	5255	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0005615; GO:0007155; GO:0007399; GO:0030154				PF00754;PF00057;PF01826;PF00090;PF00093;PF00094;	extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]
CHOYP_contig_024424|m.27774	2508	26	65	12	10	16	6	-1.127	1.127	-5.5187	5.5187	0	0.54219	0	CHOYP_contig_024424|m.27774	O01761	UNC89_CAEEL	26.1	521	342	16	1317	1809	5276	5781	3.00E-32	143	1	O01761	UNC89_CAEEL	reviewed	Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)	unc-89 C09D1.1	Caenorhabditis elegans	8081	myosin filament assembly [GO:0031034]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; regulation of Rho protein signal transduction [GO:0035023]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688]	GO:0004672; GO:0005089; GO:0005524; GO:0010628; GO:0017048; GO:0019902; GO:0030241; GO:0031034; GO:0031430; GO:0031672; GO:0035023; GO:0050850; GO:0060298; GO:0071688; GO:1905552			cd00063;	PF00041;PF07679;PF00069;PF05177;PF00621;	A band [GO:0031672]; M band [GO:0031430]; ATP binding [GO:0005524]; phosphatase binding [GO:0019902]; protein kinase activity [GO:0004672]; Rho GTPase binding [GO:0017048]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; myosin filament assembly [GO:0031034]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of gene expression [GO:0010628]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; regulation of Rho protein signal transduction [GO:0035023]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688]
CHOYP_SSPO.1.14|m.962	1538	28	52	31	16	17	5	-1.032	1.032	-5.4625	5.4625	0	0.542225	0	CHOYP_SSPO.1.14|m.962	P98167	SSPO_BOVIN	26.89	595	363	22	848	1393	3939	4510	5.00E-34	147	1	P98167	SSPO_BOVIN	reviewed	SCO-spondin	SSPO	Bos taurus (Bovine)	5146	cell adhesion [GO:0007155]	GO:0005615; GO:0007155; GO:0030414				PF08742;PF00754;PF00057;PF01826;PF00090;PF00093;PF00094;	extracellular space [GO:0005615]; peptidase inhibitor activity [GO:0030414]; cell adhesion [GO:0007155]
CHOYP_ISCW_ISCW019177.2.4|m.56600	247	22	32	23	8	11	0	-1.325	1.325	-5.3942	5.3942	0	0.542273	0	CHOYP_ISCW_ISCW019177.2.4|m.56600	Q9CYL5	GAPR1_MOUSE	44.94	158	78	5	92	246	2	153	5.00E-34	125	1	Q9CYL5	GAPR1_MOUSE	reviewed	Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)	Glipr2 Gapr1	Mus musculus (Mouse)	154	positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]	GO:0000139; GO:0010634; GO:0010718; GO:0042803; GO:0070062; GO:0070374			cd05382;	PF00188;	extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; protein homodimerization activity [GO:0042803]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]
CHOYP_SSPO.12.14|m.53188	2626	15	64	11	6	13	9	-1.141	1.141	-5.3613	5.3613	0	0.542297	0	CHOYP_SSPO.12.14|m.53188	Q9Y493	ZAN_HUMAN	26.69	517	297	16	1695	2165	1074	1554	1.00E-43	180	1	Q9Y493	ZAN_HUMAN	reviewed	Zonadhesin	ZAN	Homo sapiens (Human)	2812	binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]	GO:0005886; GO:0007339; GO:0016021; GO:0016337			cd06263;	PF08742;PF00629;PF01826;PF12714;PF00094;	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]
CHOYP_LOC494408.1.1|m.29208	541	23	37	22	11	11	0	-1.261	1.261	-5.1967	5.1967	0	0.542431	0	CHOYP_LOC494408.1.1|m.29208	Q9ET66	PI16_MOUSE	41.28	172	90	5	130	300	29	190	2.00E-36	145	1	Q9ET66	PI16_MOUSE	reviewed	Peptidase inhibitor 16 (PI-16) (Cysteine-rich protease inhibitor)	Pi16 Cripi	Mus musculus (Mouse)	489	negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]	GO:0005615; GO:0030414; GO:0061052; GO:0070062			cd05559;	PF00188;	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; peptidase inhibitor activity [GO:0030414]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]
CHOYP_BRAFLDRAFT_123537.2.2|m.50531	438	28	35	7	11	8	3	-1.151	1.151	-5.1087	5.1087	0	0.542524	0	CHOYP_BRAFLDRAFT_123537.2.2|m.50531	Q9UIF3	TEKT2_HUMAN	59.42	414	152	2	1	413	1	399	2.00E-165	479	1	Q9UIF3	TEKT2_HUMAN	reviewed	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)	TEKT2	Homo sapiens (Human)	430	cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; inner dynein arm assembly [GO:0036159]	GO:0005634; GO:0005737; GO:0005874; GO:0030317; GO:0036126; GO:0036159; GO:0060271; GO:0060294					cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; inner dynein arm assembly [GO:0036159]
CHOYP_LOC579012.1.1|m.10830	819	9	39	10	3	3	1	-2.141	2.141	-5.0415	5.0415	0	0.542611	0	CHOYP_LOC579012.1.1|m.10830	Q8N865	CG031_HUMAN	38.49	278	150	8	9	278	75	339	1.00E-41	165	1	Q8N865	CG031_HUMAN	reviewed	Uncharacterized protein C7orf31	C7orf31	Homo sapiens (Human)	590		GO:0005737; GO:0005813				PF15093;	centrosome [GO:0005813]; cytoplasm [GO:0005737]
CHOYP_LOAG_01021.1.4|m.1826	2467	24	63	18	12	21	8	-0.898	0.898	-4.9826	4.9826	0	0.542701	0	CHOYP_LOAG_01021.1.4|m.1826	Q5DTJ9	MYPN_MOUSE	28.71	310	191	8	1478	1768	958	1256	4.00E-26	122	1	Q5DTJ9	MYPN_MOUSE	reviewed	Myopalladin	Mypn Kiaa4170	Mus musculus (Mouse)	1315	cardiac muscle fiber development [GO:0048739]; regulation of cell migration [GO:0030334]; regulation of cytoskeleton organization [GO:0051493]; sarcomere organization [GO:0045214]	GO:0005634; GO:0008092; GO:0017124; GO:0030018; GO:0030334; GO:0031674; GO:0045214; GO:0048739; GO:0051015; GO:0051371; GO:0051493				PF07679;	I band [GO:0031674]; nucleus [GO:0005634]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; cytoskeletal protein binding [GO:0008092]; muscle alpha-actinin binding [GO:0051371]; SH3 domain binding [GO:0017124]; cardiac muscle fiber development [GO:0048739]; regulation of cell migration [GO:0030334]; regulation of cytoskeleton organization [GO:0051493]; sarcomere organization [GO:0045214]
CHOYP_LOC581183.1.1|m.49767	598	13	38	6	4	4	2	-1.73	1.73	-4.9422	4.9422	0	0.542769	0	CHOYP_LOC581183.1.1|m.49767	Q7ZU45	TTC25_DANRE	48.89	495	241	3	1	492	1	486	2.00E-164	485	1	Q7ZU45	TTC25_DANRE	reviewed	Tetratricopeptide repeat protein 25 (TPR repeat protein 25)	ttc25	Danio rerio (Zebrafish) (Brachydanio rerio)	486	cilium assembly [GO:0060271]; determination of heart left/right asymmetry [GO:0061371]; otolith morphogenesis [GO:0032474]	GO:0005737; GO:0005856; GO:0032474; GO:0042995; GO:0060271; GO:0061371					cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cilium assembly [GO:0060271]; determination of heart left/right asymmetry [GO:0061371]; otolith morphogenesis [GO:0032474]
CHOYP_contig_008002|m.9263	157	15	27	9	2	4	0	-2.016	2.016	-4.9244	4.9244	0	0.5428	0																												
CHOYP_BRAFLDRAFT_86846.1.3|m.13594	4273	12	51	8	5	11	5	-1.202	1.202	-4.9005	4.9005	0	0.542843	0	CHOYP_BRAFLDRAFT_86846.1.3|m.13594	Q9Y493	ZAN_HUMAN	26.89	517	296	16	1695	2165	1074	1554	3.00E-42	176	1	Q9Y493	ZAN_HUMAN	reviewed	Zonadhesin	ZAN	Homo sapiens (Human)	2812	binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]	GO:0005886; GO:0007339; GO:0016021; GO:0016337			cd06263;	PF08742;PF00629;PF01826;PF12714;PF00094;	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; binding of sperm to zona pellucida [GO:0007339]; single organismal cell-cell adhesion [GO:0016337]
CHOYP_BRAFLDRAFT_63459.2.3|m.27933	1098	34	65	20	17	20	10	-0.882	0.882	-4.8984	4.8984	0	0.542847	0	CHOYP_BRAFLDRAFT_63459.2.3|m.27933	P42674	BP10_PARLI	29.72	397	236	15	101	480	72	442	3.00E-31	134	1	P42674	BP10_PARLI	reviewed	Blastula protease 10 (EC 3.4.24.-)	BP10	Paracentrotus lividus (Common sea urchin)	597		GO:0004222; GO:0005615; GO:0005938; GO:0008270; GO:0048471			cd00041;cd04280;	PF01400;PF00431;	cell cortex [GO:0005938]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]
CHOYP_BRAFLDRAFT_201924.1.1|m.30855	299	13	28	9	2	2	0	-2.376	2.376	-4.8953	4.8953	0	0.542852	0	CHOYP_BRAFLDRAFT_201924.1.1|m.30855	P86854	PLCL_MYTGA	31.82	132	84	4	157	286	29	156	2.00E-14	72.8	1	P86854	PLCL_MYTGA	reviewed	Perlucin-like protein		Mytilus galloprovincialis (Mediterranean mussel)	156		GO:0005576; GO:0030246			cd03590;	PF00059;	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]
CHOYP_LOC100377173.1.2|m.37698	458	19	29	4	6	3	0	-1.648	1.648	-4.8334	4.8334	0	0.542968	0	CHOYP_LOC100377173.1.2|m.37698	Q5PPV2	TEKT4_XENLA	44.03	402	223	1	48	449	34	433	5.00E-102	318	1	Q5PPV2	TEKT4_XENLA	reviewed	Tektin-4	tekt4	Xenopus laevis (African clawed frog)	446		GO:0005737; GO:0005874; GO:0005929					cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]
CHOYP_NEMVEDRAFT_V1G97278.2.2|m.63646	771	21	36	9	8	7	5	-1.193	1.193	-4.8264	4.8264	0	0.542981	0	CHOYP_NEMVEDRAFT_V1G97278.2.2|m.63646	Q9JLF6	TGM1_MOUSE	38.71	695	402	13	72	758	107	785	1.00E-150	467	1	Q9JLF6	TGM1_MOUSE	reviewed	Protein-glutamine gamma-glutamyltransferase K (EC 2.3.2.13) (Epidermal TGase) (Transglutaminase K) (TG(K)) (TGK) (TGase K) (Transglutaminase-1) (TGase-1)	Tgm1	Mus musculus (Mouse)	815	animal organ morphogenesis [GO:0009887]; keratinization [GO:0031424]; keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]; protein metabolic process [GO:0019538]	GO:0003810; GO:0005913; GO:0009887; GO:0010838; GO:0018149; GO:0019538; GO:0030216; GO:0031224; GO:0031424; GO:0045787; GO:0046872; GO:0070062				PF00927;PF01841;PF00868;	cell-cell adherens junction [GO:0005913]; extracellular exosome [GO:0070062]; intrinsic component of membrane [GO:0031224]; metal ion binding [GO:0046872]; protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; animal organ morphogenesis [GO:0009887]; keratinization [GO:0031424]; keratinocyte differentiation [GO:0030216]; peptide cross-linking [GO:0018149]; positive regulation of cell cycle [GO:0045787]; positive regulation of keratinocyte proliferation [GO:0010838]; protein metabolic process [GO:0019538]
CHOYP_PHUM_PHUM184790.1.1|m.41715	766	14	31	12	5	7	0	-1.482	1.482	-4.7723	4.7723	0	0.543083	0	CHOYP_PHUM_PHUM184790.1.1|m.41715	Q92626	PXDN_HUMAN	35.89	599	327	20	200	762	737	1314	6.00E-91	317	1	Q92626	PXDN_HUMAN	reviewed	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)	PXDN KIAA0230 MG50 PRG2 VPO VPO1	Homo sapiens (Human)	1479	extracellular matrix organization [GO:0030198]; hydrogen peroxide catabolic process [GO:0042744]; immune response [GO:0006955]; oxidation-reduction process [GO:0055114]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0005152; GO:0005201; GO:0005578; GO:0005615; GO:0005783; GO:0006955; GO:0006979; GO:0020037; GO:0030198; GO:0031012; GO:0042744; GO:0046872; GO:0055114; GO:0070062				PF03098;PF07679;PF13855;PF00093;	endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578]; extracellular matrix structural constituent [GO:0005201]; heme binding [GO:0020037]; interleukin-1 receptor antagonist activity [GO:0005152]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; extracellular matrix organization [GO:0030198]; hydrogen peroxide catabolic process [GO:0042744]; immune response [GO:0006955]; oxidation-reduction process [GO:0055114]; response to oxidative stress [GO:0006979]
CHOYP_ADAMTS12.1.2|m.29930	1573	12	18	12	3	3	1	-1.804	1.804	-4.6275	4.6275	0	0.543351	0	CHOYP_ADAMTS12.1.2|m.29930	Q9UKP5	ATS6_HUMAN	30.18	1004	562	36	4	901	1	971	7.00E-117	402	1	Q9UKP5	ATS6_HUMAN	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 6 (ADAM-TS 6) (ADAM-TS6) (ADAMTS-6) (EC 3.4.24.-)	ADAMTS6	Homo sapiens (Human)	1117	aorta development [GO:0035904]; cardiac septum development [GO:0003279]; coronary vasculature development [GO:0060976]	GO:0003279; GO:0004222; GO:0005578; GO:0008237; GO:0008270; GO:0035904; GO:0060976				PF05986;PF01562;PF08686;PF01421;PF00090;	proteinaceous extracellular matrix [GO:0005578]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; aorta development [GO:0035904]; cardiac septum development [GO:0003279]; coronary vasculature development [GO:0060976]
CHOYP_contig_026477|m.30166	236	14	24	9	2	1	0	-2.504	2.504	-4.6269	4.6269	0	0.543352	0																												
CHOYP_contig_047707|m.56320	202	14	23	10	1	6	1	-1.784	1.784	-4.5882	4.5882	0	0.543421	0																												
CHOYP_LOC100181355.1.1|m.48652	542	42	76	42	26	28	28	-0.639	0.639	-4.5717	4.5717	0	0.54345	0	CHOYP_LOC100181355.1.1|m.48652	Q9BXF9	TEKT3_HUMAN	52.17	506	224	8	35	540	1	488	1.00E-175	512	1	Q9BXF9	TEKT3_HUMAN	reviewed	Tektin-3	TEKT3	Homo sapiens (Human)	490	cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; regulation of fertilization [GO:0080154]	GO:0002080; GO:0005634; GO:0005874; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0070062; GO:0080154					acrosomal membrane [GO:0002080]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; regulation of fertilization [GO:0080154]
CHOYP_LOC100485485.1.1|m.27961	203	13	31	5	1	0	0	-2.919	2.919	-4.562	4.562	0	0.543467	0	CHOYP_LOC100485485.1.1|m.27961	P86854	PLCL_MYTGA	31.06	132	85	4	61	190	29	156	2.00E-15	74.7	1	P86854	PLCL_MYTGA	reviewed	Perlucin-like protein		Mytilus galloprovincialis (Mediterranean mussel)	156		GO:0005576; GO:0030246			cd03590;	PF00059;	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]
CHOYP_TBA.3.6|m.29936	179	13	26	10	5	5	0	-1.492	1.492	-4.4214	4.4214	0	0.54371	0																												
CHOYP_BRAFLDRAFT_117858.3.3|m.61651	430	20	37	8	8	7	5	-1.161	1.161	-4.4155	4.4155	0	0.54372	0	CHOYP_BRAFLDRAFT_117858.3.3|m.61651	Q5PPV2	TEKT4_XENLA	52.08	432	195	3	1	429	1	423	1.00E-147	434	1	Q5PPV2	TEKT4_XENLA	reviewed	Tektin-4	tekt4	Xenopus laevis (African clawed frog)	446		GO:0005737; GO:0005874; GO:0005929					cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]
CHOYP_COCA1.3.6|m.49360	381	10	29	5	0	0	0	-2.801	2.801	-4.36	4.36	0	0.543815	0	CHOYP_COCA1.3.6|m.49360	P29030	CHIT_BRUMA	48.98	49	25	0	327	375	451	499	0.000000003	62.4	1	P29030	CHIT_BRUMA	reviewed	Endochitinase (EC 3.2.1.14) (MF1 antigen)		Brugia malayi (Filarial nematode worm)	504	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004568; GO:0005576; GO:0006032; GO:0008061				PF01607;PF00704;	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]
